id,codigo,nome,preco,estoque,fabricante,descricao,ativado,marca,departamento
172,1730,CAFE ROSE INTENSO EDP FEM 100ML,18,0,3331432881309,"Caf&eacute; Intenso Rose de Caf&eacute; Caf&eacute; &eacute; uma fragr&acirc;ncia floral oriental especiada amadeirada. Um perfume feminino glamoroso e real&ccedil;ado pela sensualidade do gr&atilde;o de caf&eacute;. Para mulheres que vivem sua vida com intensidade, estilo e glamour.<br>",1,Café,Feminino
169,1708,Intenso 30 ml,0,0,3331432800102,"Fragr&acirc;ncia: Oriental Floral Ano de lan&ccedil;amento: 2002 Notas de cabe&ccedil;a: Folhas de bamb&uacute;, Vegetais Aqu&aacute;ticos, P&eacute;ssego Branco, Ma&ccedil;&atilde;, Ruiberbo, Laranja, Mandarina e Toronja. Notas de cora&ccedil;&atilde;o: Lil&aacute;s, L&iacute;rio, Lotus e L&iacute;rio do Vale. Notas de fundo: S&acirc;ndalo, Baunilha, Caf&eacute; e Almiscar (Musk) &Eacute; uma fragr&acirc;ncia oriental frutal, sensual e intensamente feminina inspirada numa harm&ocirc;nica composi&ccedil;&atilde;o de aromas, com uma dire&ccedil;&atilde;o olfativa original. Um perfume para todas as mulheres que vivem de forma intensa todos os momentos. Um aroma para quem busca novas sensa&ccedil;&otilde;es. Semelhan&ccedil;a Olfativa: Amor Amor - Cacharel.<br>",1,Café,Feminino
528,8670,TESTER MONT BLANC LADY EMBLEM 75M¥,0,0,3386460066204,"Lady Emblem de Montblanc &eacute; uma fragr&acirc;ncia moderna, delicada, resoluta nascida da ess&ecirc;ncia da rosa, sin&ocirc;nimo universal de eleg&acirc;ncia e feminilidade. Pois a mulher Lady Emblem &eacute; distinta e faz o par perfeito com seu antag&ocirc;nico Emblem masculino. Ela &eacute; inegavelmente feminina, evita ostenta&ccedil;&atilde;o e possui um senso de estilo distinto.<br>",1,Mont Blanc,Feminino
33,830,AUBANA EDP FEM 100ML,17,10,900000306,"Um perfume com uma harmonia magnÃ©tica muito bonita. Uma fragrÃ¢ncia frutada arredondada por um buquÃª oriental e fresco. Uma vigÃ­lia enfeitiÃ§ante, favorecendo a atraÃ§Ã£o entre seres, entre a Mulher e seu Perfume. Uma frasco como uma jÃ³ia com uma cor rubi.<br>Uma fragrÃ¢ncia sofisticada com baunilha oriental e notas superiores de ameixa, framboesa e bambu verde. No coraÃ§Ã£o desta composiÃ§Ã£o nota floral delicado (jasmin, fresia, Ã­ris e flores da amÃªndoa). A base Ã© sensual com uma infusÃ£o de sÃ¢ndalo, baunilha, almÃ­scar e madeira dourada.<br>Com notas de: Ameixa Amarela, Framboesa, BambÃº, FrÃ©sia, Jasmim, Ãris, Flor de AmÃªndoa, SÃ¢ndalo, AlmÃ­scar, Baunilha e Notas Amadeiradas.<br>",1,Christine Darvin,Feminino
425,6310,NEW BRAND EVA EDT FEM 100ML,7,7,5425017730521,"Familia Olfativa: Floral, Oriental.<br>Notas de Topo: Groselha Preta, Tangirina e Rosa.<br>Notas de CoraÃ§Ã£o: Jasmin, Violeta e Flor de Laranjeira.<br>Notas de Fundo: Almiscar Branco e Baunilha<br>",1,New Brand,Feminino
354,5106,LANCOME LA VIE EST BELLE EDP FEM 75ML,79,0,3605532612836,"Um perfume de alma e luz! La Vie Est Belle foi elaborado com apenas 63 ingredientes, sendo quase metade de origem natural. A fragrÃ¢ncia combina notas de almÃ­scar, sÃ¡lvia, esclareia, ambargris, cedro, patchouli, vetiver, pimenta, Ã¢mbar, jasmim, notas florais, manjericÃ£o, sÃ¡lvia, toranja, notas aquÃ¡ticas e calone. Ele representa a sua prÃ³pria histÃ³ria, o encontro do caminho e a felicidade Ã  sua maneira para que a vida se torne mais bonita.<br>",1,Lancôme,Feminino
177,1785,CALVIN KLEIN CK IN 2U EDT FEM 150ML,30,0,88300196869,"Calvin Klein inicia uma nova era na perfumaria! CKIN2U foi especialmente elaborado para uma gera&ccedil;&atilde;o que se define pela troca de experi&ecirc;ncias por meio de uma rede de comunica&ccedil;&atilde;o virtual. A qualquer hora, em qualquer lugar e com qualquer pessoa... Jovens antenados, agitados e tecnosexuais!<br>Pela primeira vez, uma fragr&acirc;ncia especial de Calvin Klein n&atilde;o &eacute; apenas um fragmento. As notas especiais do perfume capturam a sedu&ccedil;&atilde;o espont&acirc;nea de uma gera&ccedil;&atilde;o fascinada por tecnologia. Esta gera&ccedil;&atilde;o que tem habilidade para conectar-se a qualquer hora, a qualquer momento, ao redor do mundo, com a possibilidade de aflorar emo&ccedil;&otilde;es revolucion&aacute;rias.<br>A mulher de CKIN2U &eacute; uma jovem espont&acirc;nea e sedutora. CKIN2U her tem a sa&iacute;da picante da grapefruit e bergamota da Sic&iacute;lia, seguidas pela orqu&iacute;dea doce cactus branco e cedra vermelho. A base em &acirc;mbar ne&oacute;n com souffle de baunilha asseguram a sedu&ccedil;&atilde;o e a satisfa&ccedil;&atilde;o imediata.<br>",1,Calvin Klein,Feminino
343,4823,KENZO FLOWER BY KENZO EDP FEM 100ML,56,0,3352818518800,"Kenzo Flower Edp 100ml, &Iacute;cone Mundial, Sin&ocirc;nimo De Poder. Uma Combina&ccedil;&atilde;o De Eleg&acirc;ncia, Charme E Sensualidade. Kenzo Flower Edp 100ml &Eacute; Uma Fragr&acirc;ncia Cativante Que Desencadeia Uma Chama Acesa.<br>",1,Kenzo,Feminino
279,3192,DOLCE GABBANA FEMME EDT FEM 100ML,65,2,737052074610,"A Partir Do MediterrÃ¢neo, Epicentro De Harmonias E Contrastes, O Perfume ClÃ¡ssico, Dolce Amp. Gabbana Pour Femme Renasce Incorporando A EssÃªncia Da Mulher Dolce Amp. Gabbana: Apaixonada, Sensual E Maternal.<br>Para A Mulher Que Tem ConsciÃªncia De Sua ForÃ§a E Seus Instintos.<br>Sua Embalagem Carmesim, Aveludada Ao Toque Celebra O Poder, O Estilo E A HeranÃ§a Do Logotipo Em Relevo De Dolce Amp. Gabbana.<br>O Frasco, Uma Pequena Obra-Prima De Luxo. Uma Garrafa De Pureza, Compacto, Com Ã‚ngulos Precisos, Emprestando Uma Imagem De ElegÃ¢ncia Absoluta, Que Floresce Sedutoramente Em Um Cap Vermelho Apoiado Por Uma SÃ³lida Base De Ouro.<br>Notas De SaÃ­da: NerÃ³li, Framboesa E Tangerina Verde.<br>Notas De CoraÃ§Ã£o: Jasmim E Flor De Laranjeira.<br>Notas De Fundo: Marshmallow, Baunilha, HeliotrÃ³pio E Madeira De SÃ¢ndalo.<br>",1,Dolce & Gabbana,Feminino
518,8535,TESTER GABRIELA SEBATINI FEM 60ML,0,0,4004711484803,"Gabriela Sabatini marcou o t&ecirc;nis, um dos esportes mais populares do planeta, e encantou a todos tanto pelo seu extraordin&aacute;rio talento nas quadras quanto por sua beleza e eleg&acirc;ncia.<br>Quando Gabriela Sabatini criou a sua fragr&acirc;ncia hom&ocirc;nima, estava no auge de sua carreira como tenista, uma esportista reconhecida em todo lugar, por isso conseguiu passar muito desse sentimento de luta e vit&oacute;ria nos aromas de sua fragr&acirc;ncia. O lan&ccedil;amento foi mais um enorme sucesso na carreira de Gabriela Sabatini, al&ccedil;ando-a de vez a um lugar de destaque no ramo da perfumaria mundial.<br>A fragr&acirc;ncia feminina Gabriela Sabatini Eau de Toilette foi criada para as mulheres vision&aacute;rias e que gostam de tomar suas pr&oacute;prias decis&otilde;es. Essas mulheres s&atilde;o naturalmente poderosas, ativas, e se entregam com energia a todos os desafios que lhes aparecem e batalham com muito afinco pelo seu sucesso.<br>Gabriela Sabatini Eau de Toilette tem aromais florais ambarinos, perfeitos para a mulher aut&ecirc;ntica, atraente e natural. As notas dessa agrad&aacute;vel fragr&acirc;ncia combinam com perfei&ccedil;&atilde;o a tangerina, o jasmim, o s&acirc;ndalo, a alm&iacute;scar e o &acirc;mbar.<br>",1,Gabriela,Feminino
529,8680,TESTER MONT BLANC LADY EMBLEM ELIXIR EDP 75ML,35,0,3386460081962,"Lady Emblem de Montblanc Ã© uma fragrÃ¢ncia moderna, delicada, resoluta nascida da essÃªncia da rosa, sinÃ´nimo universal de elegÃ¢ncia e feminilidade. Pois a mulher Lady Emblem Ã© distinta e faz o par perfeito com seu antagÃ´nico Emblem masculino. Ela Ã© inegavelmente feminina, evita ostentaÃ§Ã£o e possui um senso de estilo distinto.<br>",0,Mont Blanc,Feminino
532,8726,TESTER MONT BLANC PRESENCE FEM 75ML,0,0,3386460028387,"A alma feminina contida em um frasco.<br>O perfume expressa os instintos, desejos e sabedoria das mulheres.<br>Contrastes retratados no frasco de base prateada e vidro Ã¢mbar, revelam uma fragrÃ¢ncia requintada composta de notas de folhas de abacaxi, tangerina, pimenta, orquÃ­dea, ciclÃ¢men, sÃ¢ndalo, jacarandÃ¡, baunilha e patchouli.<br>",0,Mont Blanc,Feminino
355,5117,LANCOME LA VIE EST BELLE EDP FEM 50ML,65,1,3605532612768,"Um perfume de alma e luz! La Vie Est Belle foi elaborado com apenas 63 ingredientes, sendo quase metade de origem natural. A fragrÃ¢ncia combina notas de almÃ­scar, sÃ¡lvia, esclareia, ambargris, cedro, patchouli, vetiver, pimenta, Ã¢mbar, jasmim, notas florais, manjericÃ£o, sÃ¡lvia, toranja, notas aquÃ¡ticas e calone. Ele representa a sua prÃ³pria histÃ³ria, o encontro do caminho e a felicidade Ã  sua maneira para que a vida se torne mais bonita.<br>",1,Lancôme,Feminino
